##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	1_R2_001_fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	21349284
Sequences flagged as poor quality	0
Sequence length	30-150
%GC	46
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.632651942800514	37.0	32.0	37.0	32.0	37.0
2	34.8753619090926	37.0	32.0	37.0	32.0	37.0
3	36.03768205996979	37.0	37.0	37.0	37.0	37.0
4	36.22487962593968	37.0	37.0	37.0	37.0	37.0
5	36.25910428658872	37.0	37.0	37.0	37.0	37.0
6	37.155875438258256	37.0	37.0	37.0	37.0	41.0
7	37.19112570707289	37.0	37.0	37.0	37.0	41.0
8	37.297411472909346	37.0	37.0	37.0	37.0	41.0
9	37.28045825799123	37.0	37.0	37.0	37.0	41.0
10-14	37.28660117126176	37.0	37.0	37.0	37.0	41.0
15-19	37.28340737797108	37.0	37.0	37.0	37.0	41.0
20-24	37.2672027408507	37.0	37.0	37.0	37.0	41.0
25-29	37.19726225947437	37.0	37.0	37.0	37.0	41.0
30-34	37.208096873234254	37.0	37.0	37.0	37.0	41.0
35-39	37.144033913256706	37.0	37.0	37.0	37.0	41.0
40-44	37.17697611739907	37.0	37.0	37.0	37.0	41.0
45-49	37.1814694070889	37.0	37.0	37.0	37.0	41.0
50-54	37.12319271302448	37.0	37.0	37.0	37.0	41.0
55-59	37.08364077798769	37.0	37.0	37.0	37.0	41.0
60-64	37.09250401679516	37.0	37.0	37.0	37.0	41.0
65-69	37.087452863741575	37.0	37.0	37.0	37.0	41.0
70-74	36.92484187505774	37.0	37.0	37.0	37.0	41.0
75-79	36.898776868429174	37.0	37.0	37.0	37.0	41.0
80-84	36.93334813050954	37.0	37.0	37.0	37.0	41.0
85-89	36.948352911902234	37.0	37.0	37.0	37.0	41.0
90-94	36.84495918195749	37.0	37.0	37.0	37.0	41.0
95-99	36.809647747172924	37.0	37.0	37.0	37.0	41.0
100-104	36.53712937038902	37.0	37.0	37.0	35.0	41.0
105-109	36.73168878131351	37.0	37.0	37.0	37.0	41.0
110-114	36.774973205458764	37.0	37.0	37.0	37.0	41.0
115-119	36.74856168488911	37.0	37.0	37.0	37.0	41.0
120-124	36.60633916503353	37.0	37.0	37.0	37.0	41.0
125-129	36.53547481289051	37.0	37.0	37.0	37.0	41.0
130-134	36.43622659865304	37.0	37.0	37.0	37.0	41.0
135-139	36.2611667876154	37.0	37.0	37.0	34.0	41.0
140-144	36.03143994788709	37.0	37.0	37.0	30.0	41.0
145-149	35.89002504989306	37.0	37.0	37.0	28.0	41.0
150	36.66113381443248	37.0	37.0	37.0	37.0	41.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-3.637043793845855
1101	2	-4.649736050608833
1101	3	-1.221143791151185
1101	4	-0.033452040766249524
1101	5	0.20367353785304942
1101	6	2.4955226211197115
1101	7	2.3081595229848375
1101	8	2.3052232394691288
1101	9	0.3431221565972393
1101	10-14	0.8790310551716018
1101	15-19	0.47135354891181436
1101	20-24	0.3846632869571849
1101	25-29	2.342872192535644
1101	30-34	1.8786698068675491
1101	35-39	0.5475125638919138
1101	40-44	0.5477723854940848
1101	45-49	2.270820408765296
1101	50-54	2.499879956733743
1101	55-59	2.6548714377380094
1101	60-64	2.5239805194836578
1101	65-69	2.105696063561531
1101	70-74	1.8395154813145922
1101	75-79	1.9045865778829665
1101	80-84	2.014792737707076
1101	85-89	2.139420705856402
1101	90-94	2.1645627317154847
1101	95-99	2.1827643804050822
1101	100-104	2.3571031828179088
1101	105-109	2.0478575201990097
1101	110-114	2.1529363730731106
1101	115-119	1.979613169935547
1101	120-124	1.7697832797031268
1101	125-129	1.6174095326964206
1101	130-134	1.6140837506381374
1101	135-139	1.5264575275421635
1101	140-144	1.332645569413529
1101	145-149	1.337966559036957
1101	150	1.246559400162056
1102	1	-2.9243087309081446
1102	2	-3.279573973002215
1102	3	-0.7877098855009876
1102	4	-0.5693012637421759
1102	5	-0.23412299785304214
1102	6	2.40731318974688
1102	7	2.058415739591311
1102	8	1.6521387137843462
1102	9	2.626426508960897
1102	10-14	2.3067691248571904
1102	15-19	2.4829436307237316
1102	20-24	2.824707344535362
1102	25-29	2.4217443412990036
1102	30-34	2.337499063617244
1102	35-39	2.2863508223656908
1102	40-44	2.707394687313233
1102	45-49	2.6547352345153996
1102	50-54	2.7063961009818485
1102	55-59	2.77621962754462
1102	60-64	2.679170048202927
1102	65-69	2.7182840089783866
1102	70-74	2.7428914861573475
1102	75-79	1.9554829830039822
1102	80-84	0.1304595339913348
1102	85-89	0.672157557092973
1102	90-94	1.9647479956540295
1102	95-99	2.446007368883798
1102	100-104	2.791400566771088
1102	105-109	2.4492568470196687
1102	110-114	2.378876782351007
1102	115-119	2.447309423447294
1102	120-124	2.425878964490238
1102	125-129	2.4858161025574717
1102	130-134	2.7135184654122924
1102	135-139	2.767990290674014
1102	140-144	2.5799591304144585
1102	145-149	2.5614529430404858
1102	150	2.2072790673677503
1103	1	-2.8508312777583384
1103	2	-3.2213116619344433
1103	3	-0.43659150672390723
1103	4	-0.19302652596573466
1103	5	0.13387023454974667
1103	6	2.8981932024152925
1103	7	2.59510273405305
1103	8	2.927344271215162
1103	9	3.055797564147653
1103	10-14	2.9363088865744302
1103	15-19	2.9393967063549624
1103	20-24	3.025067534061421
1103	25-29	2.791884515572967
1103	30-34	2.1106478498524908
1103	35-39	2.9576952001166745
1103	40-44	3.037387318176087
1103	45-49	2.9903108872769977
